Billion,iso3,population,Share_N,Share_perc
UHC,AFG,41681232,6168521.999254818,14.8
UHC,AGO,36148636,6160086.734182947,17.04
UHC,ALB,2858418,316941.5537964228,11.09
UHC,AND,77576,6539.803257214199,8.43
UHC,ARE,10165150,1110768.3331940148,10.93
UHC,ARG,46409173,5750622.168467824,12.39
UHC,ARM,2974770,284356.61595840775,9.56
UHC,ATG,100272,9418.061901870547,9.39
UHC,AUS,26343073,1175442.1627984883,4.46
UHC,AUT,9081181,828696.3230259723,9.13
UHC,AZE,10370490,1083225.4320914287,10.45
UHC,BDI,12999141,2120944.5368756866,16.32
UHC,BEL,11699400,777940.6568334184,6.65
UHC,BEN,13124347,1812736.8738685364,13.81
UHC,BFA,22720842,3050988.5868317187,13.43
UHC,BGD,169431797,25541614.464111365,15.07
UHC,BGR,6792227,718617.0718159262,10.58
UHC,BHR,1811996,196859.05786374162,10.86
UHC,BHS,404048,38618.93006053174,9.56
UHC,BIH,3237054,241140.47814808358,7.45
UHC,BLR,9419494,836772.9878834846,8.88
UHC,BLZ,419429,58628.25979273655,13.98
UHC,BOL,12151990,1841895.4099718258,15.16
UHC,BRA,216641839,28724185.321693074,13.26
UHC,BRB,288314,31985.432349077375,11.09
UHC,BRN,449169,32261.523628731455,7.18
UHC,BTN,795731,108933.3772155551,13.69
UHC,BWA,2483754,223876.29349098678,9.01
UHC,CAF,5119136,784754.3611283823,15.33
UHC,CAN,38704479,1817927.8356328178,4.7
UHC,CHE,8829560,701214.3119634273,7.94
UHC,CHL,19249347,1447806.7081728515,7.52
UHC,CHN,1460457635,166592001.5924234,11.41
UHC,CIV,28444206,4154234.825948025,14.6
UHC,CMR,28608129,5038791.70297264,17.61
UHC,COD,98151951,14839276.77475047,15.12
UHC,COG,5940746,985377.3090374343,16.59
UHC,COK,17566,1326.6632658559874,7.55
UHC,COL,51672846,5784942.74263976,11.2
UHC,COM,926492,150960.9504159701,16.29
UHC,CPV,573322,55850.366317961016,9.74
UHC,CRI,5223972,531972.950266581,10.18
UHC,CUB,11291378,738575.7386743576,6.54
UHC,CYP,1230792,111343.90692855758,9.05
UHC,CZE,10745888,636820.6060686123,5.93
UHC,DEU,83774541,5825456.709385578,6.95
UHC,DJI,1029701,145443.1996916904,14.12
UHC,DMA,72514,8312.07736521918,11.46
UHC,DNK,5856937,196959.54850225153,3.36
UHC,DOM,11155917,1635858.1702214829,14.66
UHC,DZA,46053477,4783436.029566109,10.39
UHC,ECU,18324151,2444630.443483957,13.34
UHC,EGY,108031556,18172330.902519695,16.82
UHC,ERI,3727656,540888.1956626509,14.51
UHC,ESP,46679284,2114343.621771008,4.53
UHC,EST,1317216,129049.4938666017,9.8
UHC,ETH,123771387,17899611.630196385,14.46
UHC,FIN,5560627,188502.31694239608,3.39
UHC,FJI,916131,81065.65914934076,8.85
UHC,FRA,65745189,2139280.946653755,3.25
UHC,FSM,118708,15510.930939273256,13.07
UHC,GAB,2383905,353226.6916232725,14.82
UHC,GBR,68765935,3121106.5713197193,4.54
UHC,GEO,3956337,455643.97404363926,11.52
UHC,GHA,33062741,4552064.719011453,13.77
UHC,GIN,14238716,2228698.9512345865,15.65
UHC,GMB,2631251,356967.8286946965,13.57
UHC,GNB,2111612,288258.244248563,13.65
UHC,GNQ,1543389,208227.16023572424,13.49
