iso3,year,ind,value
AFG,2018,hpop_tobacco,30.068822
AFG,2018,pm25,8.827692254
AFG,2018,child_viol,79.26898234
AFG,2018,stunting,86.52174699
AFG,2018,overweight,24.60886496
AFG,2018,wasting,16.85742834
AFG,2018,suicide,70.98569718
AFG,2018,alcohol,32.12528116
AFG,2018,road,14.14639025
AFG,2018,devontrack,83.92600163
AFG,2018,ipv,67.94928399
AFG,2018,water_rural,67.79233977
AFG,2018,hpop_sanitation_rural,90.55688117
AFG,2018,fuel,45.98251774
AFG,2018,adult_obese,69.64775301
AFG,2018,child_obese,11.42588626
AFG,2018,transfats,0
AFG,2023,hpop_tobacco,41.45910712
AFG,2023,pm25,58.51512968
AFG,2023,child_viol,30.70619134
AFG,2023,stunting,86.64779249
AFG,2023,overweight,71.87163486
AFG,2023,wasting,21.36259242
AFG,2023,suicide,46.91011912
AFG,2023,alcohol,29.27572415
AFG,2023,road,31.35334054
AFG,2023,devontrack,39.56642388
AFG,2023,ipv,18.93500201
AFG,2023,water_rural,30.33329066
AFG,2023,hpop_sanitation_rural,22.53915548
AFG,2023,fuel,37.3846908
AFG,2023,adult_obese,12.12488792
AFG,2023,child_obese,29.03882066
AFG,2023,transfats,100
