iso3,sdiratio
NER,20.36856743
SOM,24.85918344
TCD,26.09071978
MLI,26.84212026
SSD,27.19795416
BFA,27.53944092
AFG,27.73472141
BDI,28.21816238
GIN,28.43478996
LBR,28.46531019
MDG,28.49196856
CAF,28.51493931
ETH,28.51493931
MOZ,28.55051488
GNB,28.58057704
MWI,28.58057704
SLE,28.58718952
COD,28.58016017
BEN,28.55726433
SEN,28.55726433
UGA,28.49646256
GMB,28.41732846
RWA,28.40869391
ERI,28.40038223
CIV,28.38863304
TZA,28.38863304
TGO,28.384934
PNG,28.36547385
SLB,28.35170739
KIR,28.34862476
NPL,28.34638127
YEM,28.34559033
COM,28.34478257
HTI,28.35581805
BGD,28.44005741
AGO,28.4667357
ZWE,28.48665645
MRT,28.58453996
ZMB,28.59892943
VUT,28.64512477
SDN,28.69599602
KHM,28.77139913
CMR,28.77139913
DJI,28.83385843
STP,28.90157443
PAK,29.00034069
LSO,29.02658925
NGA,29.02658925
KEN,29.1976563
TLS,29.39300266
HND,29.65345275
LAO,29.95106045
TJK,30.13865686
GTM,30.18761309
NIC,30.49912728
GHA,30.90244718
PRK,30.9636913
CPV,31.69991924
IND,31.77270254
MHL,31.77270254
MMR,32.23070268
BTN,33.44769615
COG,33.83540823
FSM,33.93521618
WSM,34.03618901
SWZ,34.24165513
MAR,34.34616132
GUY,34.88668173
IRQ,34.99842887
BOL,35.22561786
DOM,35.93720699
SLV,35.93720699
BLZ,37.09149647
EGY,37.36256992
KGZ,37.77933643
VNM,37.77933643
VCT,37.92099277
SYR,38.35425464
NAM,39.1043878
PHL,39.25867701
PRY,39.57156966
GNQ,40.54522595
TON,40.54522595
MEX,41.05204885
UZB,41.39745457
COL,42.10655538
ECU,42.47035373
PER,42.47035373
GRD,43.21670446
FJI,43.40723688
SUR,43.40723688
IDN,44.78586759
GAB,45.40111986
LCA,45.81955395
MDV,46.244661
VEN,46.244661
CRI,47.78583061
MNG,47.78583061
BWA,48.01285135
BRA,48.01285135
TUN,50.87410224
MDA,51.1241524
PAN,51.37601923
ZAF,51.37601923
JAM,51.8852287
LKA,52.14258425
THA,53.19049578
ALB,53.45712826
DMA,53.99602392
CUB,54.26830001
SYC,55.37640995
DZA,56.51523863
TKM,56.51523863
JOR,56.804794
TTO,57.09630156
GEO,57.68519905
IRN,57.68519905
AZE,57.98260189
ARM,58.28198273
CHN,59.80878281
URY,59.80878281
ARG,60.74901188
BHR,61.38600091
BIH,61.70756567
ATG,62.35686799
MUS,64.01643278
TUR,67.13653019
LBN,67.49391511
KAZ,69.31344597
BRB,70.8085854
UKR,71.1879122
OMN,72.72758071
CHL,74.30333714
SRB,75.91559449
MKD,76.73554008
BHS,77.56476578
MYS,78.82611748
LBY,79.67876932
QAT,81.8519029
BLR,84.99516424
PRT,87.3135011
SAU,87.78456738
ROU,90.17724827
KWT,91.15187085
MNE,92.13659957
BGR,94.13658194
RUS,94.13658194
ARE,95.66348131
ISR,107.0128573
GRC,107.582752
HUN,107.582752
HRV,112.240609
LVA,112.240609
ESP,112.240609
MLT,118.9361602
LTU,122.0930444
NZL,122.7330398
SVK,122.7330398
ITA,123.3759232
GBR,123.3759232
POL,124.0217009
CZE,128.6237296
BRN,131.9991439
EST,133.3701124
SVN,134.7530455
CYP,138.2630627
FRA,138.2630627
JPN,138.2630627
AUT,138.9741494
USA,139.6882789
DEU,141.8489887
SGP,143.3047942
KOR,143.3047942
AUS,144.037316
CAN,150.7697457
IRL,150.7697457
SWE,151.5334377
BEL,153.8434545
CHE,156.1820181
FIN,159.3448102
AND,166.6499187
ISL,170.8226405
NOR,174.2203121
NLD,175.0780469
LUX,178.5424472
DNK,180.2948144
