iso3,year,ind,value
XXX,2018,tb,49
XXX,2018,itn,
XXX,2018,art,2.852081
XXX,2018,uhc_sanitation,36.74996
XXX,2018,uhc_tobacco,14.96666667
XXX,2018,bp,30.4
XXX,2018,fpg,5.318684308
XXX,2018,fp,35.7
XXX,2018,dtp3,67
XXX,2018,pneumo,60.75
XXX,2018,anc4,22.7
XXX,2018,ihr,25
XXX,2018,beds,5.3
XXX,2018,hwf,5.80475
XXX,2018,fh,18.262
XXX,2023,tb,68
XXX,2023,itn,
XXX,2023,art,9.22457
XXX,2023,uhc_sanitation,43.41761
XXX,2023,uhc_tobacco,13.1
XXX,2023,bp,30.54582115
XXX,2023,fpg,5.367650699
XXX,2023,fp,42.4
XXX,2023,dtp3,66
XXX,2023,pneumo,65.64666667
XXX,2023,anc4,20.9
XXX,2023,ihr,41.7827
XXX,2023,beds,3.9
XXX,2023,hwf,4.537
XXX,2023,fh,25.372
